Year,Competition,Discipline,Round,Rank,SkaterName,SkaterNation,StartingNumber,TSS,TES,PCS,DED,PC,Factor,PScoreofPanel,PScore,Role
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Transitions,1.60,8.11,8.25,J8
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Transitions,1.60,8.11,8.00,J9
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.75,J1
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.50,J2
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,8.00,J3
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.50,J4
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.50,J5
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.50,J6
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,8.00,J7
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.75,J8
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Performance,1.60,7.64,7.50,J9
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,7.75,J1
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,7.75,J2
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.75,J3
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.50,J4
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.25,J5
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.50,J6
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.75,J7
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.50,J8
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Composition,1.60,8.36,8.25,J9
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,7.75,J1
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,7.75,J2
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,8.75,J3
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,7.75,J4
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,8.25,J5
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,8.00,J6
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,8.50,J7
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,8.25,J8
2021,2021gpcan,Pairs,FS,6,KirstenMOORE-TOWERS/MichaelMARIN,CAN,5,113.82,49.12,64.70,0.00,Interpretation,1.60,8.04,7.75,J9
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.50,J1
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.75,J2
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,7.00,J3
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.50,J4
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.25,J5
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.50,J6
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.50,J7
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.50,J8
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Skating,1.60,6.57,6.75,J9
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.00,J1
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.50,J2
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.50,J3
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.50,J4
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.25,J5
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.25,J6
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.50,J7
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.25,J8
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Transitions,1.60,6.39,6.75,J9
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,6.50,J1
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,7.00,J2
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,7.00,J3
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,6.75,J4
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,6.50,J5
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,6.25,J6
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,6.75,J7
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,6.75,J8
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Performance,1.60,6.75,7.25,J9
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,6.25,J1
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,6.50,J2
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,7.25,J3
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,7.00,J4
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,6.25,J5
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,6.50,J6
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,6.75,J7
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,6.50,J8
2021,2021gpcan,Pairs,FS,7,Lori-AnnMATTE/ThierryFERLAND,CAN,2,111.56,58.72,52.84,0.00,Composition,1.60,6.68,7.25,J9
